,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
81,0.9059939,0.7558708,1.557433,0.73328066,0.6555452,0.80319715,0.6083989,0.8251875,0.68367064,0.74488235,0.6497073,0.67024255,1.0930743,0.5830639,0.9596522,0.66945535,0.8306135,0.52236265,1.1915072,0.55070436,1.3557167,0.5160616,1.2142457,0.51251787,1.0576446,0.56451905,1.0471379,0.5565548,1.0619574,0.57167333,0.9472755,0.5830288
82,0.83486277,0.8005866,1.2670289,0.70548147,0.6030066,0.7710988,0.62003094,0.79126155,1.6755862,0.6003236,0.6415167,0.67056465,1.0182787,0.62031734,0.8728891,0.68748987,0.80015665,0.5333933,1.1229264,0.5160239,1.138237,0.53121805,1.0634719,0.52741146,1.0525542,0.5708964,0.95072085,0.58933157,0.983569,0.5995005,0.8732411,0.59132385
83,0.80432874,0.7484812,1.0987288,0.72742546,0.5845714,0.73769003,0.55626816,0.8189205,1.287535,0.59583837,1.5793551,0.56845486,0.9146089,0.6263806,0.8285387,0.69923747,0.7159293,0.53134435,0.9834762,0.528109,1.0071648,0.5187503,1.0029783,0.5143374,0.9313976,0.60305727,0.8938743,0.5967032,0.8921425,0.59388113,0.8426791,0.6191579
84,0.75597906,0.7603423,1.0097579,0.7107206,0.5696268,0.7626577,0.5278608,0.8672434,1.1251014,0.6420195,1.1694384,0.59759253,0.8590838,0.6138478,0.79950994,0.683056,0.70693713,0.5465848,0.89406747,0.5145692,0.91684645,0.5162789,0.95251715,0.51777536,0.9123868,0.60305476,0.83000344,0.5645303,0.8909223,0.6289653,0.7773951,0.58478963
85,0.68976724,0.7309272,0.934363,0.7271048,1.1380317,0.6893797,1.3580074,0.7411821,1.0043882,0.61687624,1.0396729,0.5751614,0.7664198,0.6274908,0.7421369,0.7165691,0.6919725,0.5302499,0.8421979,0.52754253,0.82860917,0.5336394,0.87679714,0.52942425,0.8109948,0.5740108,0.7895442,0.5979261,0.8691992,0.6255707,0.76809174,0.6316247
86,0.68737346,0.75565934,0.8784949,0.7241658,0.8909967,0.6796909,0.99419755,0.8075076,0.97343075,0.6132241,0.94019586,0.59655666,0.78270894,0.65910083,0.7145729,0.69217855,0.6427944,0.5200618,0.84605676,0.55173415,0.80000937,0.5397842,0.8333453,0.53428864,0.81564695,0.5662203,0.7723796,0.6251517,0.81362224,0.6479027,0.73269993,0.62878394
87,0.6187743,0.75293076,0.7593543,0.7605008,0.7578281,0.66871923,0.92341226,0.77687263,0.86136025,0.63461417,0.9391145,0.5982004,0.7131386,0.65929013,0.7114332,0.68505377,0.69405144,0.55042,0.789718,0.54505324,0.71947557,0.51484907,0.78136146,0.5191019,0.7637561,0.58680505,0.73161435,0.5971602,0.77335423,0.63657886,0.68205214,0.6558418
88,0.60504943,0.7684164,0.76078063,0.7472798,0.64477456,0.6814489,0.77330714,0.8131034,0.79325396,0.65522134,0.7895876,0.60603464,0.70145124,0.6347731,0.6512609,0.7208174,1.704636,0.45721206,0.72644603,0.5248232,0.7419934,0.5376823,0.7497476,0.5289356,0.7766833,0.5698244,0.6873625,0.6000573,0.73541147,0.6547917,0.65247095,0.61310786
89,1.313368,0.6518305,0.6747519,0.74501866,0.5834485,0.68853676,0.7363813,0.71827984,0.7548239,0.6276728,0.7933321,0.59434235,0.6548063,0.651692,0.65856236,0.7338712,1.3426611,0.45714986,0.7065974,0.55858743,0.6833489,0.5275576,0.7272296,0.5349851,1.6142501,0.45199153,0.66053253,0.6100522,0.72086823,0.62042135,0.6363272,0.5780566
90,0.95471126,0.6742175,0.6681009,0.81381625,0.57179904,0.75558823,0.62413865,0.7519806,0.70607877,0.65360385,0.7184738,0.6021251,0.62506163,0.63229793,0.62992805,0.71065295,1.1403455,0.4322717,0.6900547,0.5570379,0.6552314,0.5237635,0.6957392,0.5618395,1.3913327,0.4940075,0.6629094,0.64335454,0.7195783,0.6329276,1.6033715,0.4937683
91,0.8548052,0.7170912,0.607579,0.753487,0.52404916,0.70996004,0.6251021,0.7626797,0.6731729,0.6567926,0.71720403,0.60597783,1.6488782,0.5406718,1.6271203,0.60034925,1.0557165,0.45276922,0.6814587,0.5350835,0.6477221,0.52352756,1.6031581,0.4513907,1.1970719,0.49800536,1.7304416,0.47557026,0.696646,0.61445683,1.2556237,0.5783073
