,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
46,0.19492146,0.22425114,0.20112948,0.24215166,0.12223983,0.28622207,0.11894334,0.29343608,0.15245113,0.2081493,0.089690775,0.27508202,0.17518759,0.23627791,0.16129479,0.21227562,0.27258554,0.15912049,0.30218858,0.16251044,0.29318362,0.14402659,0.30596593,0.1522577,0.2396386,0.1574778,0.34690014,0.18776266,0.49571568,0.24201974,0.31777802,0.24147615
47,0.17341201,0.22490618,0.17213222,0.24654716,0.12328205,0.2698536,0.11366819,0.285455,0.14376014,0.21296212,0.0807743,0.2535565,0.15442443,0.2338504,0.15236433,0.20941803,0.24514233,0.16665894,0.27751765,0.16094407,0.26623142,0.14477608,0.29142946,0.15101515,0.22991434,0.16084607,0.3285462,0.18971199,0.43271825,0.23053333,0.30403492,0.21197474
48,0.16393788,0.23095553,0.13682228,0.2431267,0.109002896,0.27186018,0.10784076,0.26988643,0.12886603,0.21131016,0.27744672,0.22943708,0.14392327,0.23186404,0.14501232,0.21497078,0.23613214,0.15969577,0.25388342,0.16354164,0.26399246,0.14587721,0.2687822,0.1497776,0.2215547,0.16395345,0.29401478,0.18745002,0.38514468,0.3075214,0.55421424,0.18370242
49,0.15378286,0.23451355,0.13366474,0.25459558,0.11060456,0.28375295,0.10239723,0.27538863,0.12457096,0.21616319,0.21867307,0.22216538,0.12846638,0.23905578,0.13060324,0.21734191,0.22893174,0.16685435,0.2400799,0.16426928,0.5097248,0.1306502,0.24807806,0.15063265,0.2019031,0.16349542,0.28538433,0.20994881,0.357487,0.24160135,0.46111214,0.18290284
50,0.13996086,0.24025998,0.12653357,0.24306484,0.09752797,0.28515548,0.097266324,0.28580925,0.11236681,0.22638066,0.18703693,0.22784194,0.120661564,0.239312,0.120655924,0.21896887,0.207519,0.16288503,0.22733386,0.16500907,0.42065746,0.12815037,0.23381047,0.15329832,0.19830364,0.16901258,0.27324197,0.19161142,0.33884,0.2650641,0.41559887,0.19215733
51,0.13085708,0.23500577,0.11853008,0.2460187,0.09473348,0.2736472,0.088062614,0.29323563,0.10875927,0.21248552,0.16506995,0.23028985,0.11270155,0.24096572,0.11641165,0.22932187,0.19633923,0.16208097,0.2209782,0.17686923,0.35876516,0.13195379,0.23148629,0.15471426,0.18485853,0.16405667,0.2544605,0.19613187,0.31730205,0.266869,0.37709257,0.21447574
52,0.13206472,0.2490785,0.10835066,0.25360894,0.093044676,0.26597658,0.0917411,0.28603238,0.10111749,0.22527258,0.15040477,0.22725707,0.10863478,0.2384326,0.30378696,0.2024709,0.18907791,0.16325703,0.19861008,0.17561899,0.32607302,0.13207686,0.20930152,0.15415077,0.50614417,0.14100355,0.24920449,0.20236227,0.29721054,0.25392064,0.35566434,0.18021156
53,0.11670967,0.23366319,0.10295341,0.24625862,0.09090337,0.2779073,0.08567212,0.29322276,0.100588046,0.21548028,0.1325628,0.24672419,0.10064706,0.24050136,0.23283705,0.19710296,0.18601796,0.16272931,0.19583927,0.17160414,0.303343,0.13452879,0.52325183,0.12860772,0.39691722,0.13920352,0.23567215,0.19718249,0.2869021,0.23366421,0.33935416,0.19950852
54,0.11706992,0.24402308,0.103463076,0.25090408,0.08439836,0.2686827,0.13000433,0.2768528,0.09172768,0.21587299,0.12860717,0.22725525,0.09478323,0.25100186,0.19422194,0.20214663,0.42589045,0.14254476,0.1816862,0.17376438,0.28908867,0.13288766,0.4186804,0.12964827,0.35658282,0.14250435,0.4761059,0.17894429,0.2773684,0.2712657,0.31497413,0.19248417
55,0.10388926,0.24556662,0.09485313,0.24829298,0.07758924,0.2907963,0.110603355,0.28368,0.2998728,0.19927374,0.11492266,0.23219314,0.08437168,0.24407275,0.17698473,0.19789873,0.3275847,0.1409229,0.17417704,0.17560911,0.26744896,0.13275073,0.3675218,0.13333201,0.3186546,0.13796851,0.38581663,0.16808715,0.2614983,0.26039207,0.2983509,0.18536435
